,ID,ACTUAL_VALUES,PREDICTED_VALUES
0,1,130.81,78.46075
1,2,88.53,106.30445
2,3,76.26,96.92418
3,4,80.62,90.534744
4,5,78.02,104.156204
5,8,92.93,93.07723
6,10,128.76,89.09671
7,11,91.91,96.83089
8,12,108.67,114.46897
9,14,126.99,92.12035
10,15,102.09,114.101295
11,16,98.12,99.77753
12,17,82.62,97.11996
13,19,94.12,94.795044
14,20,99.15,102.48257
15,21,93.64,97.18201
16,22,106.1,115.18939
17,23,114.13,97.11996
18,26,89.81,96.97374
19,28,90.81,107.16218
20,29,90.56,97.11996
21,33,94.57,97.11996
22,35,108.14,101.13209
23,41,120.77,97.11996
24,42,84.84,99.347984
25,43,93.59,107.518745
26,45,104.07,99.81525
27,46,89.37,99.89447
28,51,90.08,100.16586
29,53,128.19,94.44708
30,55,76.01,100.370766
31,56,107.86,107.06761
32,57,106.87,108.32559
33,58,104.85,99.69585
34,59,114.78,109.89654
35,63,91.56,93.407394
36,64,98.16,94.07646
37,65,117.31,94.52119
38,69,79.0,103.0593
39,71,110.76,100.193344
40,72,101.44,104.538155
41,73,91.98,99.798134
42,76,98.08,105.30697
43,77,139.2,103.66543
44,78,85.44,110.10928
45,82,110.52,95.43283
46,83,91.44,94.52119
47,84,91.52,100.25816
48,85,91.59,99.708626
49,87,108.0,105.820076
50,88,116.59,97.11996
51,89,93.81,98.37879
52,91,119.44,108.43927
53,93,91.57,91.52998
54,94,97.24,103.27131
55,95,90.11,95.95561
56,96,94.83,105.91874
57,97,108.42,104.433075
58,98,95.57,95.014656
59,99,88.82,104.70965
60,101,104.78,97.207115
61,103,87.75,98.37879
62,104,93.27,93.0912
63,105,111.74,105.76956
64,110,109.76,92.93942
65,111,84.15,105.112785
66,113,93.67,106.488235
67,114,107.72,96.443504
68,115,90.87,110.85711
69,117,118.24,98.37879
70,120,89.91,91.309616
71,121,113.4,104.575
72,122,118.53,113.391846
73,123,79.03,107.752
74,126,92.47,96.96236
75,132,100.98,99.181786
76,135,114.76,95.33164
77,137,111.15,99.44765
78,138,108.57,96.47293
79,140,93.03,109.006325
80,142,93.12,110.0837
81,144,113.31,105.88173
82,148,94.27,98.123886
83,149,102.31,97.85282
84,155,101.59,102.54299
85,156,110.37,104.3792
86,157,98.84,104.433075
87,162,101.98,107.74914
88,163,96.96,94.86064
89,167,90.8,104.19493
90,172,110.98,107.518745
91,179,73.7,112.291565
92,180,111.42,101.20582
93,181,98.91,94.15764
94,182,106.46,110.84102
95,183,115.43,98.37879
96,185,91.94,98.37879
97,187,108.37,91.99431
98,188,127.66,95.43283
99,189,93.62,100.16586
100,191,106.67,103.94463
101,192,96.06,109.64302
102,193,92.5,98.65332
103,194,92.35,91.99431
104,195,102.97,96.62199
105,196,109.43,92.813034
106,198,106.31,106.74645
107,199,87.15,116.577484
108,201,107.83,95.30848
109,204,112.75,97.02703
110,205,89.49,102.6691
111,206,126.17,98.24425
112,210,100.38,98.77466
113,211,95.42,97.207115
114,216,112.39,109.636215
115,219,92.7,115.31134
116,220,88.78,94.70929
117,221,105.15,96.986694
118,226,118.74,94.15764
119,227,116.61,99.436905
120,228,90.99,105.820076
121,230,113.28,105.88173
122,231,101.43,104.433075
123,235,113.69,116.14379
124,236,87.09,99.20743
125,238,116.73,102.907906
126,242,89.02,103.26825
127,243,102.52,108.43927
128,244,98.68,79.760826
129,245,91.24,103.61104
130,247,96.88,106.37823
131,248,90.54,115.64685
132,249,110.96,112.3485
133,250,88.92,105.32041
134,251,92.36,99.20743
135,253,102.46,116.14379
136,254,89.23,112.89156
137,256,110.02,103.152
138,257,96.78,95.74127
139,258,101.66,106.67359
140,259,87.26,104.70965
141,262,111.55,99.19592
142,266,88.1,96.94144
143,267,101.07,102.4995
144,272,96.41,94.38721
145,273,92.74,98.37879
146,275,112.44,115.324646
147,276,105.74,110.42784
148,279,89.1,104.05476
149,280,108.97,94.52119
150,283,87.65,91.32875
151,285,116.08,105.820076
152,288,108.84,98.37879
153,289,94.75,113.4057
154,290,94.92,94.52119
155,291,106.44,102.753494
156,292,108.87,99.500854
157,293,90.68,97.53081
158,296,104.08,94.78207
159,297,109.69,106.37823
160,298,90.27,111.23362
161,299,105.77,95.43283
162,304,94.17,95.79716
163,305,97.33,95.969765
164,306,90.33,109.262886
165,307,105.87,94.15764
166,311,98.25,99.89447
167,313,106.14,94.15764
168,314,90.17,109.28705
169,316,110.91,94.34599
170,324,108.25,94.65417
171,327,98.16,97.135216
172,329,113.17,95.11704
173,330,90.03,91.99431
174,337,100.85,105.281364
175,338,89.48,99.97291
176,339,116.65,95.52996
177,340,99.06,96.309074
178,343,94.02,93.90308
179,345,110.55,114.101295
180,346,94.8,92.28571
181,347,105.47,101.71304
182,349,91.5,110.855675
183,350,87.44,95.044136
184,352,79.09,104.54324
185,353,89.67,101.00319
186,354,121.15,88.85559
187,357,97.81,104.40209
188,358,99.08,107.11828
189,362,87.79,94.15764
190,364,119.76,89.44899
191,365,90.01,98.65282
192,366,98.96,101.149086
193,367,90.54,96.365616
194,368,108.28,97.58494
195,370,88.1,88.79933
196,373,116.2,97.07916
197,377,90.88,103.94463
198,378,87.65,95.434
199,382,94.61,105.30697
200,384,96.16,105.820076
201,390,117.03,96.00131
202,392,91.23,104.156204
203,393,136.41,104.78798
204,395,91.02,101.50285
205,396,102.89,92.77342
206,399,110.53,80.28363
207,406,102.6,94.15764
208,408,77.36,94.15764
209,409,113.11,104.93552
210,410,88.39,77.68785
211,412,108.85,99.754456
212,413,90.79,91.34943
213,419,98.28,93.56241
214,420,109.11,110.37023
215,421,88.82,102.30748
216,430,146.83,112.5061
217,434,102.58,97.98171
218,436,115.67,102.50878
219,437,90.54,107.06761
220,438,87.66,92.745415
221,439,115.25,103.59191
222,440,106.87,105.536705
223,443,128.78,99.26462
224,446,89.86,97.02703
225,448,132.1,94.21554
226,452,90.73,96.75171
227,453,134.43,108.35982
228,457,104.16,105.47614
229,458,97.42,99.11852
230,459,99.05,110.39476
231,460,91.16,110.91465
232,462,103.98,107.32039
233,464,100.29,110.51953
234,465,99.35,115.31134
235,467,106.19,105.21518
236,471,109.3,111.02605
237,472,108.46,78.87307
238,473,118.45,101.228966
239,475,101.26,97.02703
240,480,116.5,93.713936
241,488,88.21,92.505325
242,490,114.46,94.15764
243,491,96.97,99.35003
244,492,97.91,89.3186
245,493,108.43,103.68318
246,497,90.38,92.44781
247,498,90.19,104.156204
248,499,122.69,92.64835
249,500,90.47,98.65282
250,501,110.56,99.11852
251,502,91.01,105.70204
252,506,122.24,96.425125
253,510,150.43,101.905014
254,511,90.82,111.32445
255,512,100.98,96.23349
256,516,89.85,114.56145
257,518,107.9,107.56279
258,519,90.92,95.43834
259,521,109.1,95.357346
260,522,112.38,107.977036
261,526,88.42,107.57728
262,529,87.58,100.40889
263,532,106.4,103.58608
264,533,89.81,104.70327
265,536,91.22,110.42784
266,537,76.64,106.19119
267,539,111.75,94.3288
268,540,95.04,97.207115
269,541,111.31,93.71767
270,543,92.23,100.16586
271,546,111.77,106.37823
272,547,121.19,100.506195
273,548,99.56,79.79702
274,551,89.4,107.50078
275,552,90.93,110.68941
276,556,112.54,107.132545
277,557,99.05,94.52039
278,558,108.75,96.365616
279,559,104.56,104.05476
280,560,92.94,106.23943
281,562,89.94,102.6691
282,566,102.06,90.10159
283,570,108.31,104.156204
284,571,110.21,107.06761
285,572,88.45,95.30848
286,573,87.05,95.43283
287,575,89.59,115.31134
288,576,109.94,104.26113
289,577,95.99,93.56589
290,579,119.51,94.726814
291,580,105.23,106.37823
292,581,104.32,99.181786
293,589,91.26,94.15764
294,591,76.59,99.89447
295,593,87.25,95.20342
296,594,90.52,104.91668
297,595,92.62,94.446915
298,598,114.34,106.216415
299,602,108.43,103.00754
300,604,117.52,106.67359
301,606,94.95,110.0837
302,608,90.67,102.43976
303,609,90.39,97.207115
304,610,89.03,100.16586
305,616,107.67,106.37823
