,Date,Time,State,Group,Unit,Sales
0,2020-10-01, Morning, WA, Kids,8,20000
1,2020-10-01, Morning, WA, Men,8,20000
2,2020-10-01, Morning, WA, Women,4,10000
3,2020-10-01, Morning, WA, Seniors,15,37500
4,2020-10-01, Afternoon, WA, Kids,3,7500
5,2020-10-01, Afternoon, WA, Men,10,25000
6,2020-10-01, Afternoon, WA, Women,3,7500
7,2020-10-01, Afternoon, WA, Seniors,11,27500
8,2020-10-01, Evening, WA, Kids,15,37500
9,2020-10-01, Evening, WA, Men,15,37500
10,2020-10-01, Evening, WA, Women,3,7500
11,2020-10-01, Evening, WA, Seniors,10,25000
12,2020-10-01, Morning, NT, Kids,13,32500
13,2020-10-01, Morning, NT, Men,5,12500
14,2020-10-01, Morning, NT, Women,4,10000
15,2020-10-01, Morning, NT, Seniors,10,25000
16,2020-10-01, Afternoon, NT, Kids,13,32500
17,2020-10-01, Afternoon, NT, Men,4,10000
18,2020-10-01, Afternoon, NT, Women,6,15000
19,2020-10-01, Afternoon, NT, Seniors,5,12500
20,2020-10-01, Evening, NT, Kids,13,32500
21,2020-10-01, Evening, NT, Men,8,20000
22,2020-10-01, Evening, NT, Women,9,22500
23,2020-10-01, Evening, NT, Seniors,14,35000
24,2020-10-01, Morning, SA, Kids,12,30000
25,2020-10-01, Morning, SA, Men,12,30000
26,2020-10-01, Morning, SA, Women,16,40000
27,2020-10-01, Morning, SA, Seniors,28,70000
28,2020-10-01, Afternoon, SA, Kids,16,40000
29,2020-10-01, Afternoon, SA, Men,28,70000
30,2020-10-01, Afternoon, SA, Women,21,52500
31,2020-10-01, Afternoon, SA, Seniors,29,72500
32,2020-10-01, Evening, SA, Kids,15,37500
33,2020-10-01, Evening, SA, Men,22,55000
34,2020-10-01, Evening, SA, Women,32,80000
35,2020-10-01, Evening, SA, Seniors,21,52500
36,2020-10-01, Morning, VIC, Kids,49,122500
37,2020-10-01, Morning, VIC, Men,36,90000
38,2020-10-01, Morning, VIC, Women,34,85000
39,2020-10-01, Morning, VIC, Seniors,26,65000
40,2020-10-01, Afternoon, VIC, Kids,31,77500
41,2020-10-01, Afternoon, VIC, Men,26,65000
42,2020-10-01, Afternoon, VIC, Women,26,65000
43,2020-10-01, Afternoon, VIC, Seniors,32,80000
44,2020-10-01, Evening, VIC, Kids,27,67500
45,2020-10-01, Evening, VIC, Men,43,107500
46,2020-10-01, Evening, VIC, Women,50,125000
47,2020-10-01, Evening, VIC, Seniors,44,110000
48,2020-10-01, Morning, QLD, Kids,20,50000
49,2020-10-01, Morning, QLD, Men,18,45000
50,2020-10-01, Morning, QLD, Women,15,37500
51,2020-10-01, Morning, QLD, Seniors,14,35000
52,2020-10-01, Afternoon, QLD, Kids,18,45000
53,2020-10-01, Afternoon, QLD, Men,9,22500
54,2020-10-01, Afternoon, QLD, Women,10,25000
55,2020-10-01, Afternoon, QLD, Seniors,14,35000
56,2020-10-01, Evening, QLD, Kids,11,27500
57,2020-10-01, Evening, QLD, Men,6,15000
58,2020-10-01, Evening, QLD, Women,5,12500
59,2020-10-01, Evening, QLD, Seniors,19,47500
60,2020-10-01, Morning, NSW, Kids,39,97500
61,2020-10-01, Morning, NSW, Men,17,42500
62,2020-10-01, Morning, NSW, Women,34,85000
63,2020-10-01, Morning, NSW, Seniors,23,57500
64,2020-10-01, Afternoon, NSW, Kids,40,100000
65,2020-10-01, Afternoon, NSW, Men,30,75000
66,2020-10-01, Afternoon, NSW, Women,30,75000
67,2020-10-01, Afternoon, NSW, Seniors,36,90000
68,2020-10-01, Evening, NSW, Kids,22,55000
69,2020-10-01, Evening, NSW, Men,28,70000
70,2020-10-01, Evening, NSW, Women,30,75000
71,2020-10-01, Evening, NSW, Seniors,22,55000
72,2020-10-01, Morning, TAS, Kids,13,32500
73,2020-10-01, Morning, TAS, Men,6,15000
74,2020-10-01, Morning, TAS, Women,3,7500
75,2020-10-01, Morning, TAS, Seniors,8,20000
76,2020-10-01, Afternoon, TAS, Kids,7,17500
77,2020-10-01, Afternoon, TAS, Men,6,15000
78,2020-10-01, Afternoon, TAS, Women,11,27500
79,2020-10-01, Afternoon, TAS, Seniors,10,25000
80,2020-10-01, Evening, TAS, Kids,4,10000
81,2020-10-01, Evening, TAS, Men,10,25000
82,2020-10-01, Evening, TAS, Women,8,20000
83,2020-10-01, Evening, TAS, Seniors,7,17500
84,2020-10-02, Morning, WA, Kids,10,25000
85,2020-10-02, Morning, WA, Men,8,20000
86,2020-10-02, Morning, WA, Women,13,32500
87,2020-10-02, Morning, WA, Seniors,13,32500
88,2020-10-02, Afternoon, WA, Kids,10,25000
89,2020-10-02, Afternoon, WA, Men,13,32500
90,2020-10-02, Afternoon, WA, Women,8,20000
91,2020-10-02, Afternoon, WA, Seniors,6,15000
92,2020-10-02, Evening, WA, Kids,7,17500
93,2020-10-02, Evening, WA, Men,3,7500
94,2020-10-02, Evening, WA, Women,5,12500
95,2020-10-02, Evening, WA, Seniors,6,15000
96,2020-10-02, Morning, NT, Kids,5,12500
97,2020-10-02, Morning, NT, Men,13,32500
98,2020-10-02, Morning, NT, Women,13,32500
99,2020-10-02, Morning, NT, Seniors,13,32500
100,2020-10-02, Afternoon, NT, Kids,11,27500
101,2020-10-02, Afternoon, NT, Men,13,32500
102,2020-10-02, Afternoon, NT, Women,8,20000
103,2020-10-02, Afternoon, NT, Seniors,8,20000
104,2020-10-02, Evening, NT, Kids,7,17500
105,2020-10-02, Evening, NT, Men,9,22500
106,2020-10-02, Evening, NT, Women,3,7500
107,2020-10-02, Evening, NT, Seniors,14,35000
108,2020-10-02, Morning, SA, Kids,14,35000
109,2020-10-02, Morning, SA, Men,13,32500
110,2020-10-02, Morning, SA, Women,33,82500
111,2020-10-02, Morning, SA, Seniors,19,47500
112,2020-10-02, Afternoon, SA, Kids,16,40000
113,2020-10-02, Afternoon, SA, Men,19,47500
114,2020-10-02, Afternoon, SA, Women,22,55000
115,2020-10-02, Afternoon, SA, Seniors,30,75000
116,2020-10-02, Evening, SA, Kids,20,50000
117,2020-10-02, Evening, SA, Men,23,57500
118,2020-10-02, Evening, SA, Women,12,30000
119,2020-10-02, Evening, SA, Seniors,23,57500
120,2020-10-02, Morning, VIC, Kids,42,105000
121,2020-10-02, Morning, VIC, Men,46,115000
122,2020-10-02, Morning, VIC, Women,48,120000
123,2020-10-02, Morning, VIC, Seniors,26,65000
124,2020-10-02, Afternoon, VIC, Kids,46,115000
125,2020-10-02, Afternoon, VIC, Men,37,92500
126,2020-10-02, Afternoon, VIC, Women,36,90000
127,2020-10-02, Afternoon, VIC, Seniors,27,67500
128,2020-10-02, Evening, VIC, Kids,42,105000
129,2020-10-02, Evening, VIC, Men,37,92500
130,2020-10-02, Evening, VIC, Women,36,90000
131,2020-10-02, Evening, VIC, Seniors,25,62500
132,2020-10-02, Morning, QLD, Kids,13,32500
133,2020-10-02, Morning, QLD, Men,7,17500
134,2020-10-02, Morning, QLD, Women,12,30000
135,2020-10-02, Morning, QLD, Seniors,20,50000
136,2020-10-02, Afternoon, QLD, Kids,10,25000
137,2020-10-02, Afternoon, QLD, Men,13,32500
138,2020-10-02, Afternoon, QLD, Women,7,17500
139,2020-10-02, Afternoon, QLD, Seniors,10,25000
140,2020-10-02, Evening, QLD, Kids,5,12500
141,2020-10-02, Evening, QLD, Men,19,47500
142,2020-10-02, Evening, QLD, Women,9,22500
143,2020-10-02, Evening, QLD, Seniors,10,25000
144,2020-10-02, Morning, NSW, Kids,32,80000
145,2020-10-02, Morning, NSW, Men,35,87500
146,2020-10-02, Morning, NSW, Women,20,50000
147,2020-10-02, Morning, NSW, Seniors,15,37500
148,2020-10-02, Afternoon, NSW, Kids,33,82500
149,2020-10-02, Afternoon, NSW, Men,37,92500
150,2020-10-02, Afternoon, NSW, Women,27,67500
151,2020-10-02, Afternoon, NSW, Seniors,28,70000
