,Date,Time,State,Group,Unit,Sales,Revenue,year,month,week,Quarter,month_name,day
0,2020-10-01, Morning, WA, Kids,8,20000,160000,2020,10,40,4,October,1
1,2020-10-01, Morning, WA, Men,8,20000,160000,2020,10,40,4,October,1
2,2020-10-01, Morning, WA, Women,4,10000,40000,2020,10,40,4,October,1
3,2020-10-01, Morning, WA, Seniors,15,37500,562500,2020,10,40,4,October,1
4,2020-10-01, Afternoon, WA, Kids,3,7500,22500,2020,10,40,4,October,1
5,2020-10-01, Afternoon, WA, Men,10,25000,250000,2020,10,40,4,October,1
6,2020-10-01, Afternoon, WA, Women,3,7500,22500,2020,10,40,4,October,1
7,2020-10-01, Afternoon, WA, Seniors,11,27500,302500,2020,10,40,4,October,1
8,2020-10-01, Evening, WA, Kids,15,37500,562500,2020,10,40,4,October,1
9,2020-10-01, Evening, WA, Men,15,37500,562500,2020,10,40,4,October,1
10,2020-10-01, Evening, WA, Women,3,7500,22500,2020,10,40,4,October,1
11,2020-10-01, Evening, WA, Seniors,10,25000,250000,2020,10,40,4,October,1
12,2020-10-01, Morning, NT, Kids,13,32500,422500,2020,10,40,4,October,1
13,2020-10-01, Morning, NT, Men,5,12500,62500,2020,10,40,4,October,1
14,2020-10-01, Morning, NT, Women,4,10000,40000,2020,10,40,4,October,1
15,2020-10-01, Morning, NT, Seniors,10,25000,250000,2020,10,40,4,October,1
16,2020-10-01, Afternoon, NT, Kids,13,32500,422500,2020,10,40,4,October,1
17,2020-10-01, Afternoon, NT, Men,4,10000,40000,2020,10,40,4,October,1
18,2020-10-01, Afternoon, NT, Women,6,15000,90000,2020,10,40,4,October,1
19,2020-10-01, Afternoon, NT, Seniors,5,12500,62500,2020,10,40,4,October,1
20,2020-10-01, Evening, NT, Kids,13,32500,422500,2020,10,40,4,October,1
21,2020-10-01, Evening, NT, Men,8,20000,160000,2020,10,40,4,October,1
22,2020-10-01, Evening, NT, Women,9,22500,202500,2020,10,40,4,October,1
23,2020-10-01, Evening, NT, Seniors,14,35000,490000,2020,10,40,4,October,1
24,2020-10-01, Morning, SA, Kids,12,30000,360000,2020,10,40,4,October,1
25,2020-10-01, Morning, SA, Men,12,30000,360000,2020,10,40,4,October,1
26,2020-10-01, Morning, SA, Women,16,40000,640000,2020,10,40,4,October,1
27,2020-10-01, Morning, SA, Seniors,28,70000,1960000,2020,10,40,4,October,1
28,2020-10-01, Afternoon, SA, Kids,16,40000,640000,2020,10,40,4,October,1
29,2020-10-01, Afternoon, SA, Men,28,70000,1960000,2020,10,40,4,October,1
30,2020-10-01, Afternoon, SA, Women,21,52500,1102500,2020,10,40,4,October,1
31,2020-10-01, Afternoon, SA, Seniors,29,72500,2102500,2020,10,40,4,October,1
32,2020-10-01, Evening, SA, Kids,15,37500,562500,2020,10,40,4,October,1
33,2020-10-01, Evening, SA, Men,22,55000,1210000,2020,10,40,4,October,1
34,2020-10-01, Evening, SA, Women,32,80000,2560000,2020,10,40,4,October,1
35,2020-10-01, Evening, SA, Seniors,21,52500,1102500,2020,10,40,4,October,1
36,2020-10-01, Morning, VIC, Kids,49,122500,6002500,2020,10,40,4,October,1
37,2020-10-01, Morning, VIC, Men,36,90000,3240000,2020,10,40,4,October,1
38,2020-10-01, Morning, VIC, Women,34,85000,2890000,2020,10,40,4,October,1
39,2020-10-01, Morning, VIC, Seniors,26,65000,1690000,2020,10,40,4,October,1
40,2020-10-01, Afternoon, VIC, Kids,31,77500,2402500,2020,10,40,4,October,1
41,2020-10-01, Afternoon, VIC, Men,26,65000,1690000,2020,10,40,4,October,1
42,2020-10-01, Afternoon, VIC, Women,26,65000,1690000,2020,10,40,4,October,1
43,2020-10-01, Afternoon, VIC, Seniors,32,80000,2560000,2020,10,40,4,October,1
44,2020-10-01, Evening, VIC, Kids,27,67500,1822500,2020,10,40,4,October,1
45,2020-10-01, Evening, VIC, Men,43,107500,4622500,2020,10,40,4,October,1
46,2020-10-01, Evening, VIC, Women,50,125000,6250000,2020,10,40,4,October,1
47,2020-10-01, Evening, VIC, Seniors,44,110000,4840000,2020,10,40,4,October,1
48,2020-10-01, Morning, QLD, Kids,20,50000,1000000,2020,10,40,4,October,1
49,2020-10-01, Morning, QLD, Men,18,45000,810000,2020,10,40,4,October,1
50,2020-10-01, Morning, QLD, Women,15,37500,562500,2020,10,40,4,October,1
51,2020-10-01, Morning, QLD, Seniors,14,35000,490000,2020,10,40,4,October,1
52,2020-10-01, Afternoon, QLD, Kids,18,45000,810000,2020,10,40,4,October,1
53,2020-10-01, Afternoon, QLD, Men,9,22500,202500,2020,10,40,4,October,1
54,2020-10-01, Afternoon, QLD, Women,10,25000,250000,2020,10,40,4,October,1
55,2020-10-01, Afternoon, QLD, Seniors,14,35000,490000,2020,10,40,4,October,1
56,2020-10-01, Evening, QLD, Kids,11,27500,302500,2020,10,40,4,October,1
57,2020-10-01, Evening, QLD, Men,6,15000,90000,2020,10,40,4,October,1
58,2020-10-01, Evening, QLD, Women,5,12500,62500,2020,10,40,4,October,1
59,2020-10-01, Evening, QLD, Seniors,19,47500,902500,2020,10,40,4,October,1
60,2020-10-01, Morning, NSW, Kids,39,97500,3802500,2020,10,40,4,October,1
61,2020-10-01, Morning, NSW, Men,17,42500,722500,2020,10,40,4,October,1
62,2020-10-01, Morning, NSW, Women,34,85000,2890000,2020,10,40,4,October,1
63,2020-10-01, Morning, NSW, Seniors,23,57500,1322500,2020,10,40,4,October,1
64,2020-10-01, Afternoon, NSW, Kids,40,100000,4000000,2020,10,40,4,October,1
65,2020-10-01, Afternoon, NSW, Men,30,75000,2250000,2020,10,40,4,October,1
66,2020-10-01, Afternoon, NSW, Women,30,75000,2250000,2020,10,40,4,October,1
67,2020-10-01, Afternoon, NSW, Seniors,36,90000,3240000,2020,10,40,4,October,1
68,2020-10-01, Evening, NSW, Kids,22,55000,1210000,2020,10,40,4,October,1
69,2020-10-01, Evening, NSW, Men,28,70000,1960000,2020,10,40,4,October,1
70,2020-10-01, Evening, NSW, Women,30,75000,2250000,2020,10,40,4,October,1
71,2020-10-01, Evening, NSW, Seniors,22,55000,1210000,2020,10,40,4,October,1
72,2020-10-01, Morning, TAS, Kids,13,32500,422500,2020,10,40,4,October,1
73,2020-10-01, Morning, TAS, Men,6,15000,90000,2020,10,40,4,October,1
74,2020-10-01, Morning, TAS, Women,3,7500,22500,2020,10,40,4,October,1
75,2020-10-01, Morning, TAS, Seniors,8,20000,160000,2020,10,40,4,October,1
76,2020-10-01, Afternoon, TAS, Kids,7,17500,122500,2020,10,40,4,October,1
77,2020-10-01, Afternoon, TAS, Men,6,15000,90000,2020,10,40,4,October,1
78,2020-10-01, Afternoon, TAS, Women,11,27500,302500,2020,10,40,4,October,1
79,2020-10-01, Afternoon, TAS, Seniors,10,25000,250000,2020,10,40,4,October,1
80,2020-10-01, Evening, TAS, Kids,4,10000,40000,2020,10,40,4,October,1
81,2020-10-01, Evening, TAS, Men,10,25000,250000,2020,10,40,4,October,1
82,2020-10-01, Evening, TAS, Women,8,20000,160000,2020,10,40,4,October,1
83,2020-10-01, Evening, TAS, Seniors,7,17500,122500,2020,10,40,4,October,1
84,2020-10-02, Morning, WA, Kids,10,25000,250000,2020,10,40,4,October,2
85,2020-10-02, Morning, WA, Men,8,20000,160000,2020,10,40,4,October,2
86,2020-10-02, Morning, WA, Women,13,32500,422500,2020,10,40,4,October,2
87,2020-10-02, Morning, WA, Seniors,13,32500,422500,2020,10,40,4,October,2
88,2020-10-02, Afternoon, WA, Kids,10,25000,250000,2020,10,40,4,October,2
89,2020-10-02, Afternoon, WA, Men,13,32500,422500,2020,10,40,4,October,2
90,2020-10-02, Afternoon, WA, Women,8,20000,160000,2020,10,40,4,October,2
91,2020-10-02, Afternoon, WA, Seniors,6,15000,90000,2020,10,40,4,October,2
92,2020-10-02, Evening, WA, Kids,7,17500,122500,2020,10,40,4,October,2
93,2020-10-02, Evening, WA, Men,3,7500,22500,2020,10,40,4,October,2
94,2020-10-02, Evening, WA, Women,5,12500,62500,2020,10,40,4,October,2
95,2020-10-02, Evening, WA, Seniors,6,15000,90000,2020,10,40,4,October,2
96,2020-10-02, Morning, NT, Kids,5,12500,62500,2020,10,40,4,October,2
97,2020-10-02, Morning, NT, Men,13,32500,422500,2020,10,40,4,October,2
98,2020-10-02, Morning, NT, Women,13,32500,422500,2020,10,40,4,October,2
99,2020-10-02, Morning, NT, Seniors,13,32500,422500,2020,10,40,4,October,2
100,2020-10-02, Afternoon, NT, Kids,11,27500,302500,2020,10,40,4,October,2
101,2020-10-02, Afternoon, NT, Men,13,32500,422500,2020,10,40,4,October,2
102,2020-10-02, Afternoon, NT, Women,8,20000,160000,2020,10,40,4,October,2
103,2020-10-02, Afternoon, NT, Seniors,8,20000,160000,2020,10,40,4,October,2
104,2020-10-02, Evening, NT, Kids,7,17500,122500,2020,10,40,4,October,2
105,2020-10-02, Evening, NT, Men,9,22500,202500,2020,10,40,4,October,2
106,2020-10-02, Evening, NT, Women,3,7500,22500,2020,10,40,4,October,2
107,2020-10-02, Evening, NT, Seniors,14,35000,490000,2020,10,40,4,October,2
108,2020-10-02, Morning, SA, Kids,14,35000,490000,2020,10,40,4,October,2
109,2020-10-02, Morning, SA, Men,13,32500,422500,2020,10,40,4,October,2
110,2020-10-02, Morning, SA, Women,33,82500,2722500,2020,10,40,4,October,2
111,2020-10-02, Morning, SA, Seniors,19,47500,902500,2020,10,40,4,October,2
112,2020-10-02, Afternoon, SA, Kids,16,40000,640000,2020,10,40,4,October,2
113,2020-10-02, Afternoon, SA, Men,19,47500,902500,2020,10,40,4,October,2
